PairName,diff
1000-Default-DOC.png 1000-Default-PDF.png,0.8793
1002-Duzgit-DOC.png 1002-Duzgit-PDF.png,0.8327
1008-DS-Tankers-DOC.png 1008-DS-Tankers-PDF.png,0.8528
1010-DS Harmony-DOC.png 1010-DS Harmony-PDF.png,0.8190
1011-Bryanston-DOC.png 1011-Bryanston-PDF.png,0.8613
1023-Default-DOC.png 1023-Default-PDF.png,0.8941
1024-SB P&C-DOC.png 1024-SB P&C-PDF.png,0.8895
1025-Default-DOC.png 1025-Default-PDF.png,0.8941
1026-Uniatlantico-DOC.png 1026-Uniatlantico-PDF.png,0.8895
1027-Sonagol-DOC.png 1027-Sonagol-PDF.png,0.8854
1028-SB-AB-DOC.png 1028-SB-AB-PDF.png,0.8841
1029-SB-AS-DOC.png 1029-SB-AS-PDF.png,0.8883
1041-Default-DOC.png 1041-Default-PDF.png,0.8793
1042-Default-DOC.png 1042-Default-PDF.png,0.8793
1060-Default-DOC.png 1060-Default-PDF.png,0.8678
1061-Non-USD Invoice-DOC.png 1061-Non-USD Invoice-PDF.png,0.8684
1062-Default-DOC.png 1062-Default-PDF.png,0.8793
1063-DueDateTest0417-DOC.png 1063-DueDateTest0417-PDF.png,0.8763
1066-PRR Vessels-DOC.png 1066-PRR Vessels-PDF.png,0.8799
1068-NW Vessels-DOC.png 1068-NW Vessels-PDF.png,0.8423
1076-Default-DOC.png 1076-Default-PDF.png,0.9265
1099-Default-DOC.png 1099-Default-PDF.png,0.8790
1100-Default-DOC.png 1100-Default-PDF.png,0.8793
1106-Dakar ZL-DOC.png 1106-Dakar ZL-PDF.png,0.8759
1108-PRR Test-DOC.png 1108-PRR Test-PDF.png,0.8738
1111-PRR H10-DOC.png 1111-PRR H10-PDF.png,0.8720
1112-Default-DOC.png 1112-Default-PDF.png,0.8793
1113-Default-DOC.png 1113-Default-PDF.png,0.8793
1118-Hyde-DOC.png 1118-Hyde-PDF.png,0.8506
1121-Default-DOC.png 1121-Default-PDF.png,0.8793
1123-Central-DOC.png 1123-Central-PDF.png,0.8697
1128-Alvtank-DOC.png 1128-Alvtank-PDF.png,0.8485
1129-Default-DOC.png 1129-Default-PDF.png,0.8793
1131-Default-DOC.png 1131-Default-PDF.png,0.8793
1132-CLA Shipping-DOC.png 1132-CLA Shipping-PDF.png,0.8794
1133-CM USA-DOC.png 1133-CM USA-PDF.png,0.9013
1134-Clover-DOC.png 1134-Clover-PDF.png,0.8943
1136-ErikThun-DOC.png 1136-ErikThun-PDF.png,0.8808
1144-Icechem Template-DOC.png 1144-Icechem Template-PDF.png,0.8557
1146-NONE Template-DOC.png 1146-NONE Template-PDF.png,0.8460
1148-Default-DOC.png 1148-Default-PDF.png,0.8793
1149-Grand-DOC.png 1149-Grand-PDF.png,0.9045
1150-Default-DOC.png 1150-Default-PDF.png,0.8793
1151-ADS Crude II AS-DOC.png 1151-ADS Crude II AS-PDF.png,0.8763
1152-ADS Crude III AS-DOC.png 1152-ADS Crude III AS-PDF.png,0.8762
1153-Front Balder INC-DOC.png 1153-Front Balder INC-PDF.png,0.8763
1154-Front Baldur INC-DOC.png 1154-Front Baldur INC-PDF.png,0.8762
1155-Front Brage INC-DOC.png 1155-Front Brage INC-PDF.png,0.8765
1157-Front Castor INC-DOC.png 1157-Front Castor INC-PDF.png,0.8764
1158-Front Challenger INC-DOC.png 1158-Front Challenger INC-PDF.png,0.8756
1159-Front Classic INC-DOC.png 1159-Front Classic INC-PDF.png,0.8763
1160-Front Clipper INC-DOC.png 1160-Front Clipper INC-PDF.png,0.8762
1161-Front Coral INC-DOC.png 1161-Front Coral INC-PDF.png,0.8765
1162-Front Cosmos INC-DOC.png 1162-Front Cosmos INC-PDF.png,0.8765
1163-Front Crown INC-DOC.png 1163-Front Crown INC-PDF.png,0.8764
1166-Front Duchess INC-DOC.png 1166-Front Duchess INC-PDF.png,0.8765
1167-Front Duke INC-DOC.png 1167-Front Duke INC-PDF.png,0.8767
1168-Front Earl INC-DOC.png 1168-Front Earl INC-PDF.png,0.8766
1169-Front Eminence INC-DOC.png 1169-Front Eminence INC-PDF.png,0.8764
1170-Front Empire-DOC.png 1170-Front Empire-PDF.png,0.8765
1172-Front Heimdall INC-DOC.png 1172-Front Heimdall INC-PDF.png,0.8763
1173-Front Idun INC-DOC.png 1173-Front Idun INC-PDF.png,0.8765
1174-Front King INC-DOC.png 1174-Front King INC-PDF.png,0.8765
1175-Front Loki INC-DOC.png 1175-Front Loki INC-PDF.png,0.8766
1177-Front Njord INC-DOC.png 1177-Front Njord INC-PDF.png,0.8764
1178-Front Odin INC-DOC.png 1178-Front Odin INC-PDF.png,0.8763
1179-Front Prince I INC-DOC.png 1179-Front Prince I INC-PDF.png,0.8764
1180-Front Princess I INC-DOC.png 1180-Front Princess I INC-PDF.png,0.8765
1181-Front Queen INC-DOC.png 1181-Front Queen INC-PDF.png,0.8766
1183-Front Thor INC-DOC.png 1183-Front Thor INC-PDF.png,0.8764
1184-Frontline Chartering Services INC-DOC.png 1184-Frontline Chartering Services INC-PDF.png,0.8746
1186-Frontline Shipping LTD-DOC.png 1186-Frontline Shipping LTD-PDF.png,0.8744
1188-Front ULL INC-DOC.png 1188-Front ULL INC-PDF.png,0.8768
1189-Golden Delfina INC-DOC.png 1189-Golden Delfina INC-PDF.png,0.8750
1190-Golden Hope INC-DOC.png 1190-Golden Hope INC-PDF.png,0.8753
1191-Pecos INC-DOC.png 1191-Pecos INC-PDF.png,0.8746
1192-SFL Sabine Inc-DOC.png 1192-SFL Sabine Inc-PDF.png,0.8765
1193-SFL Trinity INC-DOC.png 1193-SFL Trinity INC-PDF.png,0.8762
1194-Tanana INC-DOC.png 1194-Tanana INC-PDF.png,0.8747
1199-Default-DOC.png 1199-Default-PDF.png,0.8793
12-Default-DOC.png 12-Default-PDF.png,0.8793
1203-Default-DOC.png 1203-Default-PDF.png,0.8793
1205-EUR Invoice-DOC.png 1205-EUR Invoice-PDF.png,0.8791
1210-Glifa-DOC.png 1210-Glifa-PDF.png,0.8900
1213-Fairmont-DOC.png 1213-Fairmont-PDF.png,0.9363
1216-San Beato-DOC.png 1216-San Beato-PDF.png,0.8961
1217-San Padre Pio-DOC.png 1217-San Padre Pio-PDF.png,0.8940
1218-Chapel-DOC.png 1218-Chapel-PDF.png,0.8950
1225-Broadstone-DOC.png 1225-Broadstone-PDF.png,0.8834
1226-Wesley-DOC.png 1226-Wesley-PDF.png,0.8820
1227-Default-DOC.png 1227-Default-PDF.png,0.8793
1243-UP-DOC.png 1243-UP-PDF.png,0.8757
1244-Sea Horse-DOC.png 1244-Sea Horse-PDF.png,0.9175
